Family,Genus,Species,Type,Seed_plant_Fern
Actinidiaceae,Saurauia,Saurauia_CRsp4,Host,Seed plant
Actinidiaceae,Saurauia,Saurauia_oreophila,Host,Seed plant
Actinidiaceae,Saurauia,Saurauia_peruviana,Host,Seed plant
Actinidiaceae,Saurauia,Saurauia_VGJsp.1,Host,Seed plant
Adoxaceae,Viburnum,Viburnum_hallii,Host,Seed plant
Adoxaceae,Viburnum,Viburnum_pichinchense,Host,Seed plant
Altingiaceae,Liquidambar,Liquidambar_styraciflua,Host,Seed plant
Altingiaceae,Liquidambar,Liquidambar_VGJsp.1,Host,Seed plant
Alzateaceae,Alzatea,Alzatea_verticillata,Epiphyte,Seed plant
Amaryllidaceae,Hippeastrum,Hippeastrum_aulicum,Epiphyte,Seed plant
Anacardiaceae,Anacardium,Anacardium_excelsum,Host,Seed plant
Anacardiaceae,Anacardium,Anacardium_occidentale,Host,Seed plant
Anacardiaceae,Anacardium,Anacardium_parvifolium,Host,Seed plant
Anacardiaceae,Astronium,Astronium_graveolens,Host,Seed plant
Anacardiaceae,Astronium,Astronium_urundeuva,Host,Seed plant
Anacardiaceae,Lithrea,Lithrea_molleoides,Host,Seed plant
Anacardiaceae,Mangifera,Mangifera_indica,Host,Seed plant
Anacardiaceae,Myracrodruon,Myracrodruon_urundeuva,Host,Seed plant
Anacardiaceae,Schinopsis,Schinopsis_marginata,Host,Seed plant
Anacardiaceae,Schinus,Schinus_molle,Host,Seed plant
Anacardiaceae,Schinus,Schinus_terebinthifolius,Host,Seed plant
Anacardiaceae,Spondias,Spondias_HEsp1,Host,Seed plant
Anacardiaceae,Spondias,Spondias_mombin,Host,Seed plant
Anacardiaceae,Spondias,Spondias_purpurea,Host,Seed plant
Anacardiaceae,Spondias,Spondias_radlkoferi,Host,Seed plant
Anacardiaceae,Tapirira,Tapirira_guianensis,Host,Seed plant
Anacardiaceae,Tapirira,Tapirira_mexicana,Host,Seed plant
Anacardiaceae,Tapirira,Tapirira_MVI001,Host,Seed plant
Anacardiaceae,Tapirira,Tapirira_obtusa,Host,Seed plant
Anacardiaceae,Tapirira,Tapirira_retusa,Host,Seed plant
Anisophylleaceae,Anisophyllea,Anisophyllea_manausensis,Host,Seed plant
Annonaceae,Annona,Annona_ambotay,Host,Seed plant
Annonaceae,Annona,Annona_CRsp5,Host,Seed plant
Annonaceae,Annona,Annona_globiflora,Host,Seed plant
Annonaceae,Annona,Annona_muricata,Host,Seed plant
Annonaceae,Annona,Annona_VGJsp.1,Host,Seed plant
Annonaceae,Cymbopetalum,Cymbopetalum_baillonii,Host,Seed plant
Annonaceae,Cymbopetalum,Cymbopetalum_stenophyllum,Host,Seed plant
Annonaceae,Diclinanona,Diclinanona_calycina,Host,Seed plant
Annonaceae,Duguetia,Duguetia_hadrantha,Host,Seed plant
Annonaceae,Duguetia,Duguetia_spixiana,Host,Seed plant
Annonaceae,Duguetia,Duguetia_surinamensis,Host,Seed plant
Annonaceae,Ephedranthus,Ephedranthus_colombianus,Host,Seed plant
Annonaceae,Guatteria,Guatteria_alutacea,Host,Seed plant
Annonaceae,Guatteria,Guatteria_australis,Host,Seed plant
Annonaceae,Guatteria,Guatteria_discolor,Host,Seed plant
Annonaceae,Guatteria,Guatteria_ESsp.1,Host,Seed plant
Annonaceae,Guatteria,Guatteria_inundata,Host,Seed plant
Annonaceae,Guatteria,Guatteria_LMN0001,Host,Seed plant
Annonaceae,Guatteria,Guatteria_MA1021,Host,Seed plant
Annonaceae,Guatteria,Guatteria_MA1034,Host,Seed plant
Annonaceae,Guatteria,Guatteria_MA1035,Host,Seed plant
Annonaceae,Guatteria,Guatteria_MA1036,Host,Seed plant
Annonaceae,Guatteria,Guatteria_pogonopus,Host,Seed plant
Annonaceae,Guatteria,Guatteria_sellowiana,Host,Seed plant
Annonaceae,Onychopetalum,Onychopetalum_amazonicum,Host,Seed plant
Annonaceae,Oxandra,Oxandra_riedeliana,Host,Seed plant
Annonaceae,Rollinia,Rollinia_dolabripetala,Host,Seed plant
Annonaceae,Rollinia,Rollinia_MK001,Host,Seed plant
Annonaceae,Unonopsis,Unonopsis_duckei,Host,Seed plant
Annonaceae,Unonopsis,Unonopsis_guatterioides,Host,Seed plant
Annonaceae,Xylopia,Xylopia_amazonica,Host,Seed plant
Annonaceae,Xylopia,Xylopia_benthamii,Host,Seed plant
Annonaceae,Xylopia,Xylopia_calophylla,Host,Seed plant
Annonaceae,Xylopia,Xylopia_emarginata,Host,Seed plant
Annonaceae,Xylopia,Xylopia_JA1012,Host,Seed plant
Annonaceae,Xylopia,Xylopia_JA1015,Host,Seed plant
Annonaceae,Xylopia,Xylopia_multiflora,Host,Seed plant
Annonaceae,Xylopia,Xylopia_sericea,Host,Seed plant
Apiaceae,Oliviera,Oliviera_brevifolia,Epiphyte,Seed plant
Apiaceae,Polytaenia,Polytaenia_brasilianum,Epiphyte,Seed plant
Apocynaceae,Aspidosperma,Aspidosperma_carapanauba,Host,Seed plant
Apocynaceae,Aspidosperma,Aspidosperma_cylindrocarpon,Host,Seed plant
Apocynaceae,Aspidosperma,Aspidosperma_desmanthum,Host,Seed plant
Apocynaceae,Aspidosperma,Aspidosperma_discolor,Host,Seed plant
